"","year","geo_description","type","subtype","estimate","success","trials","se"
"1","2018","Forsyth County, NC","Age","Adult",0.310150478423248," "," ",0.0145094547429436
"2","2018","Forsyth County, NC","Age","Child",0.462087627382118," "," ",0.031421130837609
"3","2018","Forsyth County, NC","Age by Sex","Female Adult",0.33012240351388," "," ",0.0173036109863508
"4","2018","Forsyth County, NC","Age by Sex","Female Child",0.49965736430445," "," ",0.0378256940081618
"5","2018","Forsyth County, NC","Age by Sex","Male Adult",0.286855354269094," "," ",0.0159985750630164
"6","2018","Forsyth County, NC","Age by Sex","Male Child",0.426380092530207," "," ",0.0354289063301306
"7","2018","Forsyth County, NC","Forsyth County Total","None",0.344845901622102," "," ",0.015497206665864
"8","2018","Forsyth County, NC","Gender","Female",0.365937670039586," "," ",0.0181566531625348
"9","2018","Forsyth County, NC","Gender","Male",0.321371424761651," "," ",0.0161185471380031
"10","2018","Forsyth County, NC","Race/Ethnicity","Black, non-Hispanic",0.497229488948854," "," ",0.0406303121359998
"11","2018","Forsyth County, NC","Race/Ethnicity","Hispanic/Latino",0.616605443143304," "," ",0.0586843318687474
"12","2018","Forsyth County, NC","Race/Ethnicity","White, non-Hispanic",0.220932151056177," "," ",0.0153212410825924
"13","2018","Forsyth County, NC","Race/Ethnicity by Sex","Black Female Child",0.730420168067227," "," ",0.0822732090424666
"14","2018","Forsyth County, NC","Race/Ethnicity by Sex","Black Male Child",0.587720098531156," "," ",0.092079998379366
"15","2018","Forsyth County, NC","Race/Ethnicity by Sex","Hispanic/Latino Female Child",0.756643089275473," "," ",0.077275188946687
"16","2018","Forsyth County, NC","Race/Ethnicity by Sex","Hispanic/Latino Male Child",0.768110312682074," "," ",0.0728110621834585
"17","2018","Forsyth County, NC","Race/Ethnicity by Sex","White Female Child",0.212515215226292," "," ",0.044733949113911
"18","2018","Forsyth County, NC","Race/Ethnicity by Sex","White Male Child",0.189993020883663," "," ",0.0395027868760822
