"","Year","type","subtype","Percent","moe"
"1","2018","Age by Sex","Female Adult",0.33012240351388,0.0339150775332475
"2","2018","Age by Sex","Female Child",0.49965736430445,0.0741383602559971
"3","2018","Age by Sex","Male Adult",0.286855354269094,0.0313572071235121
"4","2018","Age by Sex","Male Child",0.426380092530207,0.069440656407056
"5","2018","Forsyth County Total","None",0.344845901622102,0.0303745250650934
"6","2018","Race/Ethnicity by Sex and Age","Black Female Adult",0.499197128553887,0.0876839984576424
"7","2018","Race/Ethnicity by Sex and Age","Black Female Child",0.730420168067227,0.161255489723235
"8","2018","Race/Ethnicity by Sex and Age","Black Male Adult",0.376477967696409,0.0965887482196908
"9","2018","Race/Ethnicity by Sex and Age","Black Male Child",0.587720098531156,0.180476796823557
"10","2018","Race/Ethnicity by Sex and Age","Hispanic/Latino Female Adult",0.508024823453884,0.122555472347832
"11","2018","Race/Ethnicity by Sex and Age","Hispanic/Latino Female Child",0.756643089275473,0.151459370335506
"12","2018","Race/Ethnicity by Sex and Age","Hispanic/Latino Male Adult",0.512901890437422,0.14253116886509
"13","2018","Race/Ethnicity by Sex and Age","Hispanic/Latino Male Child",0.768110312682074,0.142709681879579
"14","2018","Race/Ethnicity by Sex and Age","White Female Adult",0.233245672652023,0.0328071533131129
"15","2018","Race/Ethnicity by Sex and Age","White Female Child",0.212515215226292,0.0876785402632656
"16","2018","Race/Ethnicity by Sex and Age","White Male Adult",0.215922565033273,0.0330234890814304
"17","2018","Race/Ethnicity by Sex and Age","White Male Child",0.189993020883663,0.0774254622771211
