geo_description,year,estimate,moe,se,cv,type,subtype
Alamance,2018,0.3052252695697651,0.03722404040144133,0.018991857347674147,6.222242796097587,Age,18+
Alamance,2018,0.4301944563816072,0.09246931956174417,0.04717822426619601,10.966720646057377,Age,Under 18
Alexander,2018,0.33166411891834907,0.05157902334091999,0.02631582823516326,7.934481523351593,Age,18+
Alexander,2018,0.2906481819287365,0.09491417866036145,0.04842560135732727,16.661243513025195,Age,Under 18
Alleghany,2018,0.32670775466808427,0.042580156635677935,0.02172456971208058,6.6495421065690525,Age,18+
Alleghany,2018,0.4630754475703325,0.10000711912901684,0.05102404037194737,11.018515587397403,Age,Under 18
Anson,2018,0.2920577929662153,0.05028636281134142,0.025656307556806847,8.784668026226823,Age,18+
Anson,2018,0.376924143669394,0.12081712260517183,0.061641389084271345,16.353791636743217,Age,Under 18
Ashe,2018,0.39233206146952776,0.037611221036663436,0.01918939848809359,4.891111477409557,Age,18+
Ashe,2018,0.2984705241795773,0.08812305367787014,0.044960741672382724,15.063712504264478,Age,Under 18
Beaufort,2018,0.2931954158993101,0.039635766574450323,0.020222329884923635,6.897218983760796,Age,18+
Beaufort,2018,0.2836910056565482,0.08457327669936457,0.04314963096906355,15.210080724696237,Age,Under 18
Bertie,2018,0.30985216907406066,0.050962232862406184,0.02600113921551336,8.391465934614317,Age,18+
Bertie,2018,0.30193555798058697,0.10968356873764132,0.055961004457980267,18.534088807644938,Age,Under 18
Bladen,2018,0.4442347565896478,0.060898995469381885,0.031070916055807085,6.994255986257322,Age,18+
Bladen,2018,0.5472909278628182,0.10487369701400989,0.05350698827245403,9.776699292531646,Age,Under 18
Brunswick,2018,0.26154256509094664,0.04016031161327088,0.020489954904730042,7.834271602255272,Age,18+
Brunswick,2018,0.287834256805589,0.0941379852265172,0.04802958429924347,16.68654205106793,Age,Under 18
Buncombe,2018,0.25672515713858124,0.024382829616260083,0.01244021919196943,4.845734376259102,Age,18+
