county,year,estimate,start_age
Alamance,2006,5328,0
Alexander,2006,5328,0
Alleghany,2006,5172,0
Anson,2006,5172,0
Ashe,2006,5172,0
Avery,2006,5172,0
Beaufort,2006,5328,0
Bertie,2006,5172,0
Bladen,2006,5328,0
Brunswick,2006,5328,0
Buncombe,2006,5328,0
Burke,2006,5172,0
Cabarrus,2006,6060,0
Caldwell,2006,5328,0
Camden,2006,5172,0
Carteret,2006,5328,0
Caswell,2006,5172,0
Catawba,2006,5328,0
Chatham,2006,7164,0
Cherokee,2006,5172,0
Chowan,2006,5172,0
Clay,2006,5328,0
Cleveland,2006,5172,0
Columbus,2006,5172,0
Craven,2006,5328,0
Cumberland,2006,4860,0
Currituck,2006,5172,0
Dare,2006,5856,0
Davidson,2006,4728,0
Davie,2006,5328,0
Duplin,2006,5172,0
Durham,2006,6828,0
Edgecombe,2006,5328,0
Forsyth,2006,6108,0
Franklin,2006,5172,0
Gaston,2006,5328,0
Gates,2006,5172,0
Graham,2006,5172,0
Granville,2006,5328,0
Greene,2006,5328,0
Guilford,2006,5940,0
Halifax,2006,5172,0
Harnett,2006,5328,0
Haywood,2006,5172,0
Henderson,2006,5328,0
Hertford,2006,5172,0
Hoke,2006,5172,0
Hyde,2006,5328,0
Iredell,2006,5328,0
Jackson,2006,5328,0
Johnston,2006,4896,0
Jones,2006,5172,0
Lee,2006,5328,0
Lenoir,2006,5172,0
Lincoln,2006,5328,0
Macon,2006,5172,0
Madison,2006,5856,0
Martin,2006,5172,0
McDowell,2006,5172,0
Mecklenburg,2006,6324,0
Mitchell,2006,5664,0
Montgomery,2006,5532,0
Moore,2006,5172,0
Nash,2006,5328,0
New Hanover,2006,6108,0
Northampton,2006,5172,0
Onslow,2006,4896,0
Orange,2006,7776,0
Pamlico,2006,5172,0
Pasquotank,2006,6036,0
Pender,2006,5328,0
Perquimans,2006,5172,0
Person,2006,5328,0
Pitt,2006,5088,0
Polk,2006,5328,0
Randolph,2006,5172,0
Richmond,2006,5172,0
Robeson,2006,5172,0
Rockingham,2006,5172,0
Rowan,2006,5328,0
Rutherford,2006,5172,0
Sampson,2006,5172,0
Scotland,2006,5172,0
Stanly,2006,5328,0
Stokes,2006,5328,0
Surry,2006,5172,0
Swain,2006,5328,0
Transylvania,2006,5172,0
Tyrrell,2006,5172,0
Union,2006,6108,0
Vance,2006,5328,0
Wake,2006,7836,0
Warren,2006,5172,0
Washington,2006,5172,0
Watauga,2006,5940,0
Wayne,2006,5172,0
Wilkes,2006,5328,0
Wilson,2006,5172,0
Yadkin,2006,5172,0
Yancey,2006,5172,0
Alamance,2006,5112,1
Alexander,2006,5112,1
Alleghany,2006,5112,1
Anson,2006,5112,1
Ashe,2006,5112,1
Avery,2006,5112,1
