year,fmr1,fmr2,fmr3,fmr4,countyname
2006,543,622,808,911,NC
2007,564,647,840,947,NC
2008,587,673,875,988,NC
2009,598,686,892,1007,NC
2010,619,710,923,1042,NC
2011,616,707,919,1037,NC
2012,607,697,906,1024,NC
2013,599,732,976,1168,NC
2014,607,742,990,1184,NC
2015,620,758,1010,1209,NC
2016,652,789,1058,1268,NC
2017,675,811,1092,1317,NC
2017,668,838,1143,1238,Alamance
2017,565,680,872,1023,Alexander
2017,512,642,882,885,Alleghany
2017,556,642,897,1131,Anson
2017,483,642,935,1018,Ashe
2017,560,744,959,1173,Avery
2017,531,642,928,931,Beaufort
2017,556,642,818,907,Bertie
2017,483,642,806,885,Bladen
2017,765,883,1130,1258,Brunswick
2017,713,891,1194,1553,Buncombe
2017,565,680,872,1023,Burke
2017,784,907,1230,1560,Cabarrus
2017,565,680,872,1023,Caldwell
2017,824,1013,1330,1785,Camden
2017,663,819,1110,1443,Carteret
2017,522,642,926,1131,Caswell
2017,565,680,872,1023,Catawba
2017,834,978,1332,1481,Chatham
2017,556,642,929,1012,Cherokee
2017,568,655,953,1033,Chowan
2017,609,703,879,1021,Clay
2017,553,646,870,1103,Cleveland
2017,507,642,833,957,Columbus
2017,623,828,1170,1337,Craven
2017,679,833,1151,1427,Cumberland
2017,939,1130,1577,1968,Currituck
2017,672,893,1292,1497,Dare
2017,550,646,922,934,Davidson
2017,611,753,1038,1229,Davie
2017,534,642,868,1084,Duplin
2017,834,978,1332,1481,Durham
2017,589,743,1018,1139,Edgecombe
2017,611,753,1038,1229,Forsyth
2017,861,993,1294,1592,Franklin
2017,784,907,1230,1560,Gaston
2017,533,642,935,1108,Gates
2017,483,642,812,1131,Graham
2017,591,786,983,1137,Granville
2017,483,642,803,885,Greene
2017,655,763,1025,1228,Guilford
2017,568,662,861,1026,Halifax
2017,527,701,950,1235,Harnett
2017,596,746,937,1314,Haywood
2017,713,891,1194,1553,Henderson
2017,501,666,875,1050,Hertford
2017,512,680,990,1198,Hoke
2017,707,869,1087,1370,Hyde
2017,715,825,1055,1454,Iredell
2017,533,642,803,1001,Jackson
2017,861,993,1294,1592,Johnston
2017,503,669,885,1016,Jones
2017,607,710,898,979,Lee
2017,522,673,878,1089,Lenoir
2017,605,698,942,1230,Lincoln
2017,553,642,812,918,McDowell
2017,547,727,971,1089,Macon
2017,713,891,1194,1553,Madison
2017,522,642,864,885,Martin
2017,784,907,1230,1560,Mecklenburg
2017,522,642,852,1012,Mitchell
2017,527,642,882,1006,Montgomery
2017,584,674,930,1071,Moore
2017,589,743,1018,1139,Nash
2017,710,915,1292,1611,New Hanover
2017,483,642,898,1131,Northampton
2017,666,812,1182,1431,Onslow
2017,834,978,1332,1481,Orange
2017,526,642,935,1131,Pamlico
2017,621,826,1153,1389,Pasquotank
2017,621,717,948,1263,Pender
2017,593,788,1052,1086,Perquimans
2017,525,676,882,954,Person
2017,626,790,1115,1315,Pitt
2017,581,772,966,1077,Polk
2017,655,763,1025,1228,Randolph
2017,526,642,864,964,Richmond
2017,483,642,812,946,Robeson
2017,483,642,837,885,Rockingham
2017,554,699,913,986,Rowan
2017,544,642,853,1032,Rutherford
2017,527,642,878,952,Sampson
2017,485,644,830,948,Scotland
2017,496,642,873,1131,Stanly
2017,611,753,1038,1229,Stokes
2017,527,642,900,1131,Surry
2017,518,642,803,1131,Swain
2017,567,654,894,1031,Transylvania
2017,522,642,935,1012,Tyrrell
2017,784,907,1230,1560,Union
2017,514,642,841,959,Vance
2017,861,993,1294,1592,Wake
2017,483,642,932,1090,Warren
2017,586,720,901,1189,Washington
2017,672,887,1228,1244,Watauga
2017,505,671,900,1078,Wayne
2017,549,642,848,1061,Wilkes
2017,636,770,1058,1061,Wilson
2017,611,753,1038,1229,Yadkin
2017,508,675,945,1065,Yancey
2016,642,809,1101,1208,Alamance
2016,553,665,852,1015,Alexander
2016,538,648,885,888,Alleghany
2016,560,648,908,1131,Anson
2016,484,648,910,961,Ashe
2016,591,713,965,1122,Avery
2016,504,648,926,982,Beaufort
2016,484,648,842,888,Bertie
2016,484,648,804,888,Bladen
2016,675,825,1052,1232,Brunswick
