age_group,start_age,end_age,gender,year,estimate
1 year,0,1,N,2018,1409
1 year,0,1,N,2017,1302
1 year,0,1,N,2016,1297
1 year,0,1,N,2015,1309
1 year,0,1,N,2014,1318
1 year,0,1,N,2013,1289
1 year,0,1,N,2012,1268
1 year,0,1,N,2011,1254
1 year,0,1,N,2010,1186
1 year,0,1,N,2009,1182
1 year,0,1,N,2008,1229
1 year,0,1,N,2007,1229
1 year,0,1,N,2006,1229
2 to 3 years,2,3,N,2018,1475
2 to 3 years,2,3,N,2017,1366
2 to 3 years,2,3,N,2016,1358
2 to 3 years,2,3,N,2015,1367
2 to 3 years,2,3,N,2014,1383
2 to 3 years,2,3,N,2013,1337
2 to 3 years,2,3,N,2012,1317
2 to 3 years,2,3,N,2011,1300
2 to 3 years,2,3,N,2010,1219
2 to 3 years,2,3,N,2009,1218
2 to 3 years,2,3,N,2008,1243
2 to 3 years,2,3,N,2007,1243
2 to 3 years,2,3,N,2006,1243
4 to 5 years,4,5,N,2018,1522
4 to 5 years,4,5,N,2017,1409
4 to 5 years,4,5,N,2016,1401
4 to 5 years,4,5,N,2015,1411
4 to 5 years,4,5,N,2014,1428
4 to 5 years,4,5,N,2013,1387
4 to 5 years,4,5,N,2012,1371
4 to 5 years,4,5,N,2011,1349
4 to 5 years,4,5,N,2010,1268
4 to 5 years,4,5,N,2009,1272
4 to 5 years,4,5,N,2008,1303
4 to 5 years,4,5,N,2007,1303
4 to 5 years,4,5,N,2006,1303
6 to 8 years,6,8,N,2018,2132
6 to 8 years,6,8,N,2017,1991
6 to 8 years,6,8,N,2016,1988
6 to 8 years,6,8,N,2015,2029
6 to 8 years,6,8,N,2014,2009
6 to 8 years,6,8,N,2013,1930
6 to 8 years,6,8,N,2012,1909
6 to 8 years,6,8,N,2011,1848
6 to 8 years,6,8,N,2010,1747
6 to 8 years,6,8,N,2009,1731
6 to 8 years,6,8,N,2008,1751
6 to 8 years,6,8,N,2007,1751
6 to 8 years,6,8,N,2006,1751
9 to 11 years,9,11,N,2018,2313
9 to 11 years,9,11,N,2017,2145
9 to 11 years,9,11,N,2016,2131
