countyname,year,pop,perc_pop
Alamance County,2017,151131,0.015849328240635528
Alexander County,2017,37198,0.0039010084753965794
Alleghany County,2017,11155,0.0011698411082060553
Anson County,2017,26948,0.002826076036211275
Ashe County,2017,27281,0.0028609982315526126
Avery County,2017,17797,0.0018663973287981323
Beaufort County,2017,47759,0.005008555937858628
Bertie County,2017,21282,0.0022318743581211356
Bladen County,2017,35190,0.0036904265887737413
Brunswick County,2017,107431,0.011266445548694283
Buncombe County,2017,238318,0.024992756004074464
Burke County,2017,90912,0.009534073942557498
Cabarrus County,2017,178011,0.018668273017738064
Caldwell County,2017,83029,0.008707372243230888
Camden County,2017,9980,0.001046617145665301
Carteret County,2017,66469,0.006970700907337363
Caswell County,2017,23719,0.002487446100003534
Catawba County,2017,154358,0.01618774843392831
Chatham County,2017,63505,0.006659861907362218
Cherokee County,2017,27444,0.0028780922791220957
Chowan County,2017,14793,0.001551363470523727
Clay County,2017,10587,0.0011102741203565672
Cleveland County,2017,98078,0.010285582806869878
Columbus County,2017,58098,0.006092821936759784
Craven County,2017,103505,0.01085472020662194
Cumberland County,2017,319431,0.033499194534770814
Currituck County,2017,23547,0.0024694082093167174
Dare County,2017,33920,0.003557239837772245
Davidson County,2017,162878,0.01708125325167063
Davie County,2017,41240,0.004324898906536774
Duplin County,2017,58505,0.006135504619954752
Durham County,2017,267587,0.028062238693100285
Edgecombe County,2017,56552,0.005930690663493396
Forsyth County,2017,350670,0.036775273995035176
Franklin County,2017,60619,0.006357202881070629
Gaston County,2017,206086,0.02161253918653098
Gates County,2017,12197,0.001279117166901771
Graham County,2017,8861,9.292659847435101e-4
Granville County,2017,59916,0.006283478246461139
Greene County,2017,21362,0.002240264074719655
Guilford County,2017,488406,0.0512198490627061
Halifax County,2017,54691,0.005735524881120338
Harnett County,2017,114678,0.012026449001062662
Haywood County,2017,59036,0.006191191363877425
Henderson County,2017,106740,0.011193979371574571
Hertford County,2017,24669,0.0025870739846109527
Hoke County,2017,46952,0.004923924671671063
Hyde County,2017,5810,6.093031679674747e-4
Iredell County,2017,159437,0.01672039056647681
Jackson County,2017,40271,0.004223278464237207
Johnston County,2017,168878,0.01771048199655959
Jones County,2017,10153,0.0010647599078095992
Lee County,2017,57866,0.006068491758624078
Lenoir County,2017,59495,0.00623932736286143
Lincoln County,2017,78265,0.008207764619789054
McDowell County,2017,44996,0.004718796100837262
Macon County,2017,33922,0.003557449580687208
Madison County,2017,20764,0.002177550943145722
Martin County,2017,24505,0.0025698750655839876
Mecklenburg County,2017,919628,0.09644272870079051
Mitchell County,2017,15579,0.0016337924361041806
Montgomery County,2017,27798,0.002915216775070544
Moore County,2017,88247,0.009254591508369318
Nash County,2017,95840,0.010050880485026297
New Hanover County,2017,202667,0.021253983673401755
Northampton County,2017,22099,0.0023175543388835153
Onslow County,2017,177772,0.018643208739399987
Orange County,2017,133801,0.014031905882481254
Pamlico County,2017,13144,0.001378430437136745
Pasquotank County,2017,40661,0.00426417833265499
Pender County,2017,52217,0.005476072895311124
Perquimans County,2017,13453,0.0014108357174985263
Person County,2017,39464,0.004138647198049642
Pitt County,2017,168148,0.017633925832598096
Polk County,2017,20510,0.0021509135929454228
Randolph County,2017,141752,0.014865738840916605
Richmond County,2017,46639,0.004891099905479355
Robeson County,2017,134168,0.014070393707376963
Rockingham County,2017,93643,0.009820477892939456
Rowan County,2017,138428,0.014517146116248122
Rutherford County,2017,67810,0.0071113335318200455
Sampson County,2017,63431,0.006652101419508587
Scotland County,2017,36157,0.003791837288158345
Stanly County,2017,60585,0.006353637251516258
Stokes County,2017,47401,0.004971011956080253
Surry County,2017,73673,0.007726194887034039
Swain County,2017,13981,0.0014662078470487547
Transylvania County,2017,33090,0.003470196528062606
Tyrrell County,2017,4407,4.6216851312093994e-4
Union County,2017,201292,0.021109785419364705
Vance County,2017,45422,0.004763471341724378
Wake County,2017,900993,0.09448844909062289
Warren County,2017,20972,0.002199364206301873
Washington County,2017,13228,0.0013872396395651903
Watauga County,2017,51079,0.005356729176697185
Wayne County,2017,122623,0.012859652730753126
Wilkes County,2017,69340,0.00727178686176673
Wilson County,2017,81234,0.008519127977051608
Yadkin County,2017,38406,0.004027693196034223
Yancey County,2017,17818,0.0018685996294052435
Alamance County,2016,151131,0.015849328240635528
Alexander County,2016,37198,0.0039010084753965794
Alleghany County,2016,11155,0.0011698411082060553
Anson County,2016,26948,0.002826076036211275
Ashe County,2016,27281,0.0028609982315526126
Avery County,2016,17797,0.0018663973287981323
Beaufort County,2016,47759,0.005008555937858628
Bertie County,2016,21282,0.0022318743581211356
Bladen County,2016,35190,0.0036904265887737413
Brunswick County,2016,107431,0.011266445548694283
Buncombe County,2016,238318,0.024992756004074464
Burke County,2016,90912,0.009534073942557498
