Series ID	Annual 2006	Annual 2007	Annual 2008	Annual 2009	Annual 2010	Annual 2011	Annual 2012	Annual 2013	Annual 2014	Annual 2015	Annual 2016	Annual 2017	Annual 2018
CXUGASOILLB0502M	1188	1276	1384	1022	1164	1399	1420	1373	1300	1085	1007	999	1084
CXUGASOILLB0503M	2665	2853	3259	2376	2533	3181	3320	3143	2965	2503	2290	2359	2537
CXUGASOILLB0504M	2263	2452	2789	1993	2190	2708	2808	2686	2552	2085	1928	1979	2118
CXUGASOILLB0505M	2707	2804	3280	2470	2504	3255	3432	3144	3006	2589	2304	2399	2582
CXUGASOILLB0506M	3146	3364	3805	2761	2926	3675	3833	3670	3406	3043	2708	2839	2979
CXUGASOILLB0507M	3253	3531	4057	2964	3115	3875	4115	3942	3705	3121	2955	3014	3369
CXUGASOILLB1101M	2227	2384	2715	1986	2132	2655	2756	2611	2468	2090	1909	1968	2109
CXUGASOILLB1104M	2356	2522	2937	2103	2229	2794	2863	2726	2553	2123	1946	1953	2115
CXUPUBTRANSLB0502M	363	324	314	303	316	316	330	311	337	393	386	435	467
CXUPUBTRANSLB0503M	564	628	595	550	566	600	632	634	686	771	723	824	965
CXUPUBTRANSLB0504M	603	722	620	559	589	614	655	693	741	812	722	835	954
CXUPUBTRANSLB0505M	528	546	568	560	525	567	588	553	618	746	637	737	863
CXUPUBTRANSLB0506M	520	624	563	568	641	696	735	621	710	735	919	935	1078
CXUPUBTRANSLB0507M	558	453	594	484	457	481	476	586	571	714	593	774	1019
CXUPUBTRANSLB1101M	505	538	513	479	493	516	542	537	581	661	623	712	818
CXUPUBTRANSLB1104M	316	368	331	314	327	334	371	330	413	453	435	529	629
CXUUSEDCARSLB0502M	726	683	605	606	516	629	713	847	825	816	767	896	869
CXUUSEDCARSLB0503M	1923	1941	1606	1586	1650	1636	1855	2023	2056	2462	2405	2587	2591
CXUUSEDCARSLB0504M	1397	1324	1266	1334	1329	1167	1451	1556	1586	1670	2192	2050	1877
CXUUSEDCARSLB0505M	2302	2266	1828	1399	1895	1775	1840	2125	1910	2973	2166	2541	3223
CXUUSEDCARSLB0506M	2360	2283	1754	2305	1780	2322	2252	2911	2806	3165	2787	3207	3157
CXUUSEDCARSLB0507M	2431	2989	2215	1710	2118	1979	2660	2210	2869	3496	2996	3746	3431
CXUUSEDCARSLB1101M	1568	1567	1315	1304	1318	1339	1516	1669	1689	1982	1919	2101	2084
CXUUSEDCARSLB1104M	1716	1597	1263	1211	1331	1403	1662	1605	1721	2246	2011	2139	2142
CXUVEHOTHXPLB0502M	1324	1461	1523	1417	1495	1418	1472	1676	1510	1632	1728	1961	1672
CXUVEHOTHXPLB0503M	2789	3067	3067	2987	2863	2879	2911	2967	3227	3218	3361	3197	3349
CXUVEHOTHXPLB0504M	2531	2740	2829	2714	2694	2678	2804	2741	2994	2896	3192	2955	3028
CXUVEHOTHXPLB0505M	2813	3330	3062	3086	2986	3020	3016	3083	3346	3474	3327	3517	3452
CXUVEHOTHXPLB0506M	3147	3329	3609	3374	3067	3061	3073	3216	3516	3672	3711	3656	3811
CXUVEHOTHXPLB0507M	3093	3382	3151	3203	2944	3067	2865	3208	3457	3353	3542	2982	3738
CXUVEHOTHXPLB1101M	2355	2592	2621	2536	2464	2454	2490	2584	2723	2756	2884	2842	2859
CXUVEHOTHXPLB1104M	2182	2378	2488	2371	2315	2400	2434	2395	2512	2495	2751	2625	2670
