taxsim_id year state fiitax siitax fica frate srate ficar
11. 2017 34 -70.01 178.72 1836.00 17.65 5.50 15.30
21. 2017 34 320.00 357.44 3672.00 10.00 5.50 15.30
31. 2017 34 -7180.06 217.42 3978.00 21.06 5.50 15.30
41. 2017 34 -2500.46 1147.26 6426.00 31.06 5.50 15.30
51. 2017 34 -946.90 1229.74 6120.00 36.06 5.50 15.30
12. 2017 34 -6.47 198.51 1891.08 17.65 5.50 15.30
22. 2017 34 392.00 397.03 3782.16 10.00 5.50 15.30
32. 2017 34 -7015.79 260.31 4097.34 21.06 5.50 15.30
42. 2017 34 -2109.10 1216.54 6618.78 31.06 5.50 15.30
52. 2017 34 -514.18 1295.73 6303.60 36.06 5.50 15.30
13. 2017 34 58.98 218.90 1947.81 17.65 5.50 15.30
23. 2017 34 466.16 437.81 3895.62 10.00 5.50 15.30
33. 2017 34 -6846.59 304.49 4220.26 21.06 5.50 15.30
43. 2017 34 -1706.01 1287.91 6817.34 31.06 5.50 15.30
53. 2017 34 -68.48 1363.70 6492.71 36.06 5.50 15.30
14. 2017 34 126.39 239.91 2006.25 17.65 5.50 15.30
24. 2017 34 542.54 479.81 4012.49 10.00 5.50 15.30
34. 2017 34 -6672.32 349.99 4346.87 21.06 5.50 15.30
44. 2017 34 -1290.82 1361.42 7021.86 31.06 5.50 15.30
54. 2017 34 390.59 1433.70 6687.49 36.06 5.50 15.30
15. 2017 34 195.82 261.54 2066.43 17.65 5.50 15.30
25. 2017 34 621.22 523.08 4132.87 10.00 5.50 15.30
35. 2017 34 -6456.50 396.86 4477.27 31.06 5.50 15.30
45. 2017 34 -863.17 1437.13 7232.52 31.06 5.50 15.30
55. 2017 34 860.55 1505.81 6888.11 15.00 5.50 15.30
16. 2017 34 267.33 283.82 2128.43 17.65 5.50 15.30
26. 2017 34 702.26 567.64 4256.85 10.00 5.50 15.30
36. 2017 34 -6183.82 445.14 4611.59 31.06 5.50 15.30
46. 2017 34 -365.72 1515.11 7449.50 36.06 5.50 15.30
56. 2017 34 1063.14 1580.08 7094.76 15.00 5.50 15.30
17. 2017 34 340.99 306.77 2192.28 17.65 5.50 15.30
27. 2017 34 785.73 613.54 4384.56 10.00 5.50 15.30
37. 2017 34 -5902.97 494.86 4749.94 31.06 5.50 15.30
47. 2017 34 161.00 1595.43 7672.98 36.06 5.50 15.30
57. 2017 34 1271.81 1656.58 7307.60 15.00 5.50 15.30
18. 2017 34 416.86 330.41 2258.05 17.65 5.50 15.30
28. 2017 34 871.70 660.81 4516.10 10.00 5.50 15.30
38. 2017 34 -5613.69 546.07 4892.44 31.06 5.50 15.30
48. 2017 34 480.71 1678.17 7903.17 15.00 5.50 15.30
58. 2017 34 1486.74 1735.37 7526.83 15.00 5.50 15.30
19. 2017 34 480.12 354.75 2325.79 10.00 5.50 15.30
29. 2017 34 960.25 709.51 4651.58 10.00 5.50 15.30
39. 2017 34 -5315.73 598.83 5039.21 31.06 5.50 15.30
49. 2017 34 713.15 1763.38 8140.26 15.00 5.50 15.30
59. 2017 34 1708.12 1816.53 7752.63 15.00 5.50 15.30
110. 2017 34 525.73 379.83 2395.56 10.00 5.50 15.30
210. 2017 34 1051.46 759.66 4791.13 10.00 5.50 15.30
310. 2017 34 -5008.83 653.16 5190.39 31.06 5.50 15.30
410. 2017 34 952.57 1851.15 8384.47 15.00 5.50 15.30
510. 2017 34 1936.14 1900.12 7985.21 15.00 5.50 15.30
111. 2017 34 572.70 405.66 2467.43 10.00 5.50 15.30
