geo_description,year,estimate,moe,se,cv,type,subtype
"Durham County, NC",2018,0.17735540310906917,0.09708337849105159,0.04953233596482224,27.92829262402628,Age,0 to 17
"Durham County, NC",2018,0.11802575107296137,0.13683140480098613,0.06981194122499293,59.1497538379031,Age,18 to 24
"Durham County, NC",2018,0.15255131801894392,0.07968514293082929,0.04065568516879046,26.65049748291379,Age,25 to 44
"Durham County, NC",2018,0.17955641272902603,0.22366232668135927,0.11411343198028534,63.552969368182545,Age,45 to 64
"Durham County, NC",2018,0.12051649928263988,0.3203842993586825,0.16346137722381762,135.63402372023913,Age,65 plus
"Forsyth County, NC",2018,0.3946072804265197,0.09569227979921913,0.04882259173429547,12.372450827953434,Age,0 to 17
"Forsyth County, NC",2018,0.25331760542612797,0.28979838361786503,0.14785631817238012,58.36795982800245,Age,18 to 24
"Forsyth County, NC",2018,0.30680204113840814,0.09774513272669184,0.04986996567688359,16.254769848283267,Age,25 to 44
"Forsyth County, NC",2018,0.2708266836897542,0.31953106121505903,0.16302605164033623,60.19571240885957,Age,45 to 64
"Forsyth County, NC",2018,0,0,0,NaN,Age,65 plus
"Guilford County, NC",2018,0.3155615453728661,0.08641218339581706,0.044087848671335236,13.971236140082032,Age,0 to 17
"Guilford County, NC",2018,0.47886560693641617,0.17776868589774208,0.09069830913150106,18.940242902753297,Age,18 to 24
"Guilford County, NC",2018,0.1925722339675828,0.06534396910609465,0.03333875974800747,17.312339926232383,Age,25 to 44
"Guilford County, NC",2018,0.22813325506310536,0.1880625868585113,0.0959502994176078,42.05888325709743,Age,45 to 64
"Guilford County, NC",2018,0.4965986394557823,0.44290426600590327,0.22597156428872617,45.50386294581198,Age,65 plus
North Carolina,2018,0.3053486957963816,0.055245721609698976,0.02818659265800968,9.230952365621238,Age,0 to 17
North Carolina,2018,0.34084724238026126,0.13344169011345164,0.06808249495584268,19.974489005807307,Age,18 to 24
North Carolina,2018,0.21259027792148666,0.045928688570873004,0.02343300437289439,11.022613358428654,Age,25 to 44
North Carolina,2018,0.22875712747717214,0.14236180631963116,0.07263357465287304,31.751393040254538,Age,45 to 64
North Carolina,2018,0.4095687620682257,0.3648474977157325,0.1861466825080268,45.44943358669005,Age,65 plus
"Durham County, NC",2018,0.16232740350651853,0.08147954241349276,0.041571195108924874,25.609474562473068,Comparison Community,None
"Forsyth County, NC",2018,0.33733822165289984,0.09392874787870806,0.047922830550361256,14.206166830294991,Comparison Community,None
"Guilford County, NC",2018,0.26752702048717536,0.07106263821834444,0.036256448070583897,13.552443414709936,Comparison Community,None
North Carolina,2018,0.26174911715411303,0.04719012641654298,0.024076595110481113,9.198348163407658,Comparison Community,None
"Durham County, NC",2018,0.17995974763121594,0.09541248953442152,0.048679841599194654,27.050405571223756,Gender,Female
"Durham County, NC",2018,0.13914491288577036,0.07496343390509122,0.03824664995157715,27.48691932631081,Gender,Male
"Forsyth County, NC",2018,0.3678019558447226,0.10577971619139442,0.05396924295479307,14.673451866465232,Gender,Female
"Forsyth County, NC",2018,0.299080786189373,0.09991407122169549,0.050976566949844634,17.04441385197079,Gender,Male
"Guilford County, NC",2018,0.3178499568841621,0.08342262707321008,0.04256256483327045,13.390772567819486,Gender,Female
"Guilford County, NC",2018,0.20316176470588235,0.07162254700826653,0.036542115820544153,17.98670919867537,Gender,Male
North Carolina,2018,0.29814051065751146,0.055076195371856033,0.028100099679518386,9.425119591278335,Gender,Female
North Carolina,2018,0.21513362534120484,0.04749328391696924,0.024231267304576143,11.263356560902567,Gender,Male
"Durham County, NC",2018,0.17815302947098663,0.1555499764257706,0.07936223287029112,44.54722611563323,Race / Ethnicity,African American
"Durham County, NC",2018,0.40372064340408037,0.24011625554695842,0.12250829364640736,30.34481779614869,Race / Ethnicity,Hispanic / Latino
"Durham County, NC",2018,0.02993870815652994,0.029483152904171948,0.015042424951108137,50.24406822252024,Race / Ethnicity,"White, non-Hispanic"
"Forsyth County, NC",2018,0.47032868970303904,0.22842070805677128,0.11654117757998535,24.778666522250283,Race / Ethnicity,African American
"Forsyth County, NC",2018,0.5944721529509559,0.21205241557023322,0.10819000794399654,18.199339936604606,Race / Ethnicity,Hispanic / Latino
"Forsyth County, NC",2018,0.14897090704707866,0.07749778905126962,0.03953968829146409,26.541885979769546,Race / Ethnicity,"White, non-Hispanic"
"Guilford County, NC",2018,0.32239111870196413,0.1265235487082091,0.06455283097357607,20.023141838858226,Race / Ethnicity,African American
"Guilford County, NC",2018,0.3486205661053386,0.18981980381636918,0.09684683868182101,27.780013027848145,Race / Ethnicity,Hispanic / Latino
"Guilford County, NC",2018,0.14082008481305647,0.08111227201472478,0.0413838122524106,29.387720016891794,Race / Ethnicity,"White, non-Hispanic"
North Carolina,2018,0.3207222614419377,0.09619691013285707,0.0490800561902332,15.302977713356658,Race / Ethnicity,African American
North Carolina,2018,0.4594328850545547,0.13204857710604098,0.06737172301328621,14.664105510271922,Race / Ethnicity,Hispanic / Latino
North Carolina,2018,0.11715222660519937,0.04485322587466815,0.022884298915647014,19.533814745806446,Race / Ethnicity,"White, non-Hispanic"
