SERIALNO,SPORDER,ST,PUMA,year,HISP,RAC1P,AGEP,SEX,cntyname,economic_unit,income_insufficient
103276,1,37,1802,2018,1,1,2,1,Forsyth,FALSE,TRUE
2845,1,37,1801,2018,2,1,35,2,Forsyth,TRUE,TRUE
2845,1,37,1801,2018,2,1,35,2,Forsyth,TRUE,TRUE
2845,2,37,1801,2018,2,1,32,1,Forsyth,TRUE,TRUE
2845,3,37,1801,2018,2,1,0,2,Forsyth,TRUE,TRUE
9459,1,37,1803,2018,23,1,39,2,Forsyth,TRUE,FALSE
9459,1,37,1803,2018,23,1,39,2,Forsyth,TRUE,FALSE
9459,2,37,1803,2018,1,1,37,1,Forsyth,TRUE,FALSE
9459,3,37,1803,2018,1,1,3,1,Forsyth,TRUE,FALSE
9459,4,37,1803,2018,1,1,0,2,Forsyth,TRUE,FALSE
10409,1,37,1302,2018,2,1,19,1,Durham,TRUE,TRUE
10409,1,37,1302,2018,2,1,19,1,Durham,TRUE,TRUE
10409,2,37,1302,2018,2,1,18,1,Durham,TRUE,TRUE
10409,3,37,1302,2018,2,1,11,1,Durham,TRUE,TRUE
10409,4,37,1302,2018,2,1,3,2,Durham,TRUE,TRUE
10409,5,37,1302,2018,2,1,36,2,Durham,TRUE,TRUE
10409,5,37,1302,2018,2,1,36,2,Durham,TRUE,TRUE
17109,1,37,1701,2018,1,1,40,2,Guilford,TRUE,FALSE
17109,1,37,1701,2018,1,1,40,2,Guilford,TRUE,FALSE
17109,2,37,1701,2018,1,1,41,1,Guilford,TRUE,FALSE
17109,3,37,1701,2018,1,1,1,2,Guilford,TRUE,FALSE
17220,1,37,1301,2018,1,2,39,2,Durham,TRUE,FALSE
17220,1,37,1301,2018,1,2,39,2,Durham,TRUE,FALSE
17220,2,37,1301,2018,1,2,38,1,Durham,TRUE,FALSE
17220,3,37,1301,2018,1,2,7,1,Durham,TRUE,FALSE
17220,4,37,1301,2018,1,2,5,1,Durham,TRUE,FALSE
17220,5,37,1301,2018,1,2,3,1,Durham,TRUE,FALSE
17220,6,37,1301,2018,1,2,8,2,Durham,TRUE,FALSE
18710,1,37,1703,2018,1,2,47,1,Guilford,TRUE,FALSE
18710,1,37,1703,2018,1,2,47,1,Guilford,TRUE,FALSE
18710,2,37,1703,2018,1,2,42,2,Guilford,TRUE,FALSE
18710,3,37,1703,2018,1,2,13,1,Guilford,TRUE,FALSE
18710,4,37,1703,2018,1,2,11,1,Guilford,TRUE,FALSE
18710,5,37,1703,2018,1,2,4,2,Guilford,TRUE,FALSE
21323,1,37,1701,2018,1,1,33,2,Guilford,TRUE,FALSE
21323,1,37,1701,2018,1,1,33,2,Guilford,TRUE,FALSE
21323,2,37,1701,2018,1,9,1,2,Guilford,TRUE,FALSE
25133,1,37,1701,2018,1,2,68,2,Guilford,TRUE,FALSE
25133,1,37,1701,2018,1,2,68,2,Guilford,TRUE,FALSE
25133,2,37,1701,2018,1,2,46,1,Guilford,TRUE,FALSE
25133,2,37,1701,2018,1,2,46,1,Guilford,TRUE,FALSE
25133,3,37,1701,2018,1,2,4,2,Guilford,TRUE,FALSE
25133,4,37,1701,2018,1,1,42,2,Guilford,TRUE,FALSE
25525,1,37,1701,2018,2,1,28,2,Guilford,TRUE,FALSE
25525,1,37,1701,2018,2,1,28,2,Guilford,TRUE,FALSE
25525,2,37,1701,2018,1,3,29,1,Guilford,TRUE,FALSE
25525,3,37,1701,2018,2,3,2,2,Guilford,TRUE,FALSE
25525,4,37,1701,2018,2,3,0,1,Guilford,TRUE,FALSE
29464,1,37,1801,2018,1,2,37,1,Forsyth,TRUE,TRUE
29464,1,37,1801,2018,1,2,37,1,Forsyth,TRUE,TRUE
29464,2,37,1801,2018,1,2,32,2,Forsyth,TRUE,TRUE
29464,3,37,1801,2018,1,2,2,1,Forsyth,TRUE,TRUE
29464,4,37,1801,2018,1,2,9,2,Forsyth,TRUE,TRUE
44352,1,37,1704,2018,1,9,35,1,Guilford,TRUE,FALSE
44352,1,37,1704,2018,1,9,35,1,Guilford,TRUE,FALSE
44352,2,37,1704,2018,1,1,32,2,Guilford,TRUE,FALSE
44352,3,37,1704,2018,1,9,4,2,Guilford,TRUE,FALSE
45846,1,37,1302,2018,1,1,41,1,Durham,TRUE,FALSE
45846,1,37,1302,2018,1,1,41,1,Durham,TRUE,FALSE
45846,2,37,1302,2018,1,6,34,2,Durham,TRUE,FALSE
45846,3,37,1302,2018,1,9,0,1,Durham,TRUE,FALSE
46646,1,37,1301,2018,10,2,28,2,Durham,TRUE,TRUE
46646,1,37,1301,2018,10,2,28,2,Durham,TRUE,TRUE
46646,2,37,1301,2018,1,2,27,1,Durham,TRUE,TRUE
46646,3,37,1301,2018,10,2,0,2,Durham,TRUE,TRUE
53514,1,37,1801,2018,2,1,30,1,Forsyth,TRUE,TRUE
53514,1,37,1801,2018,2,1,30,1,Forsyth,TRUE,TRUE
53514,2,37,1801,2018,2,1,44,1,Forsyth,TRUE,TRUE
53514,3,37,1801,2018,24,1,14,2,Forsyth,TRUE,TRUE
53514,4,37,1801,2018,24,1,14,2,Forsyth,TRUE,TRUE
53514,5,37,1801,2018,24,1,13,1,Forsyth,TRUE,TRUE
53514,6,37,1801,2018,24,1,13,2,Forsyth,TRUE,TRUE
53514,7,37,1801,2018,24,1,10,2,Forsyth,TRUE,TRUE
53514,8,37,1801,2018,24,1,10,2,Forsyth,TRUE,TRUE
53514,9,37,1801,2018,24,1,9,2,Forsyth,TRUE,TRUE
