SERIALNO,SPORDER,ST,PUMA,year,HISP,RAC1P,AGEP,SEX,cntyname,economic_unit,income_insufficient
538,1,37,1703,2013,1,1,31,1,Guilford,TRUE,FALSE
538,2,37,1703,2013,1,1,30,2,Guilford,TRUE,FALSE
538,3,37,1703,2013,1,1,2,1,Guilford,TRUE,FALSE
5022,1,37,1803,2013,1,1,53,1,Forsyth,TRUE,FALSE
5022,2,37,1803,2013,1,1,56,2,Forsyth,TRUE,FALSE
5022,3,37,1803,2013,1,1,24,1,Forsyth,TRUE,FALSE
5022,4,37,1803,2013,1,1,2,2,Forsyth,TRUE,FALSE
5022,5,37,1803,2013,1,1,24,2,Forsyth,TRUE,FALSE
9246,1,37,1704,2013,1,1,44,2,Guilford,TRUE,FALSE
9246,2,37,1704,2013,1,1,43,1,Guilford,TRUE,FALSE
9246,3,37,1704,2013,1,1,11,1,Guilford,TRUE,FALSE
9246,4,37,1704,2013,1,1,10,1,Guilford,TRUE,FALSE
9246,5,37,1704,2013,1,1,7,2,Guilford,TRUE,FALSE
9246,6,37,1704,2013,1,1,5,2,Guilford,TRUE,FALSE
9246,7,37,1704,2013,1,1,1,2,Guilford,TRUE,FALSE
14348,1,37,1701,2013,1,1,27,2,Guilford,TRUE,TRUE
14348,2,37,1701,2013,1,1,26,1,Guilford,TRUE,TRUE
14348,3,37,1701,2013,1,1,0,1,Guilford,TRUE,TRUE
24104,1,37,1702,2013,1,2,27,2,Guilford,TRUE,TRUE
24104,2,37,1702,2013,1,2,1,2,Guilford,TRUE,TRUE
33024,1,37,1302,2013,1,2,34,1,Durham,TRUE,FALSE
33024,2,37,1302,2013,1,2,36,2,Durham,TRUE,FALSE
33024,3,37,1302,2013,1,2,6,2,Durham,TRUE,FALSE
33024,4,37,1302,2013,1,2,4,2,Durham,TRUE,FALSE
33024,5,37,1302,2013,1,2,2,1,Durham,TRUE,FALSE
37642,1,37,1703,2013,1,2,27,2,Guilford,TRUE,TRUE
37642,2,37,1703,2013,1,2,11,1,Guilford,TRUE,TRUE
37642,3,37,1703,2013,1,2,5,2,Guilford,TRUE,TRUE
37642,4,37,1703,2013,1,2,4,2,Guilford,TRUE,TRUE
47509,1,37,1703,2013,1,1,56,2,Guilford,TRUE,FALSE
47509,2,37,1703,2013,1,1,56,1,Guilford,TRUE,FALSE
47509,3,37,1703,2013,1,1,21,2,Guilford,TRUE,FALSE
47509,4,37,1703,2013,1,1,3,2,Guilford,TRUE,FALSE
56870,1,37,1704,2013,1,1,37,1,Guilford,TRUE,FALSE
56870,2,37,1704,2013,1,1,35,2,Guilford,TRUE,FALSE
56870,3,37,1704,2013,1,1,6,1,Guilford,TRUE,FALSE
56870,4,37,1704,2013,1,1,3,1,Guilford,TRUE,FALSE
63132,1,37,1802,2013,1,2,22,2,Forsyth,TRUE,TRUE
63132,2,37,1802,2013,1,2,0,2,Forsyth,TRUE,TRUE
67249,1,37,1801,2013,1,2,23,2,Forsyth,TRUE,TRUE
67249,2,37,1801,2013,1,2,4,2,Forsyth,TRUE,TRUE
67249,3,37,1801,2013,1,2,1,2,Forsyth,TRUE,TRUE
76290,1,37,1803,2013,1,1,36,2,Forsyth,TRUE,FALSE
76290,2,37,1803,2013,1,1,36,1,Forsyth,TRUE,FALSE
76290,3,37,1803,2013,1,1,8,1,Forsyth,TRUE,FALSE
76290,4,37,1803,2013,1,1,4,2,Forsyth,TRUE,FALSE
83056,1,37,1702,2013,1,1,33,1,Guilford,TRUE,FALSE
83056,2,37,1702,2013,1,1,32,2,Guilford,TRUE,FALSE
83056,3,37,1702,2013,1,1,5,2,Guilford,TRUE,FALSE
83056,4,37,1702,2013,1,1,3,1,Guilford,TRUE,FALSE
88859,1,37,1801,2013,1,2,35,2,Forsyth,TRUE,TRUE
88859,2,37,1801,2013,1,2,3,1,Forsyth,TRUE,TRUE
91084,1,37,1802,2013,3,2,36,2,Forsyth,TRUE,TRUE
91084,2,37,1802,2013,2,1,32,1,Forsyth,TRUE,TRUE
91084,3,37,1802,2013,3,2,14,1,Forsyth,TRUE,TRUE
91084,4,37,1802,2013,3,2,10,2,Forsyth,TRUE,TRUE
91084,5,37,1802,2013,3,2,3,1,Forsyth,TRUE,TRUE
92216,1,37,1801,2013,1,2,34,2,Forsyth,TRUE,TRUE
92216,2,37,1801,2013,1,2,50,1,Forsyth,TRUE,TRUE
92216,3,37,1801,2013,1,2,6,2,Forsyth,TRUE,TRUE
92216,4,37,1801,2013,1,2,4,2,Forsyth,TRUE,TRUE
93191,1,37,1803,2013,1,1,42,2,Forsyth,TRUE,TRUE
93191,2,37,1803,2013,1,1,47,1,Forsyth,TRUE,TRUE
93191,3,37,1803,2013,1,1,1,2,Forsyth,TRUE,TRUE
93191,4,37,1803,2013,1,1,3,1,Forsyth,TRUE,TRUE
93191,5,37,1803,2013,1,1,0,1,Forsyth,TRUE,TRUE
108664,1,37,1803,2013,1,6,35,1,Forsyth,TRUE,FALSE
108664,2,37,1803,2013,1,1,35,2,Forsyth,TRUE,FALSE
108664,3,37,1803,2013,1,9,3,1,Forsyth,TRUE,FALSE
108664,4,37,1803,2013,1,9,0,2,Forsyth,TRUE,FALSE
108664,5,37,1803,2013,1,6,67,1,Forsyth,TRUE,FALSE
114603,1,37,1704,2013,1,1,35,1,Guilford,TRUE,FALSE
114603,2,37,1704,2013,1,1,35,2,Guilford,TRUE,FALSE
114603,3,37,1704,2013,1,1,6,2,Guilford,TRUE,FALSE
114603,4,37,1704,2013,1,1,4,1,Guilford,TRUE,FALSE
114603,5,37,1704,2013,1,1,2,1,Guilford,TRUE,FALSE
115380,1,37,1301,2013,2,9,40,2,Durham,TRUE,FALSE
115380,2,37,1301,2013,1,1,37,1,Durham,TRUE,FALSE
115380,3,37,1301,2013,2,9,11,1,Durham,TRUE,FALSE
115380,4,37,1301,2013,2,9,8,1,Durham,TRUE,FALSE
115380,5,37,1301,2013,2,9,3,2,Durham,TRUE,FALSE
120112,1,37,1302,2013,1,2,39,2,Durham,TRUE,TRUE
120112,2,37,1302,2013,1,2,19,1,Durham,TRUE,TRUE
120112,3,37,1302,2013,1,2,13,1,Durham,TRUE,TRUE
120112,4,37,1302,2013,1,2,4,1,Durham,TRUE,TRUE
120112,5,37,1302,2013,1,2,37,2,Durham,TRUE,TRUE
120112,6,37,1302,2013,1,2,16,2,Durham,TRUE,TRUE
120112,7,37,1302,2013,1,2,15,2,Durham,TRUE,TRUE
120112,8,37,1302,2013,1,2,0,1,Durham,TRUE,TRUE
125349,1,37,1703,2013,1,1,27,1,Guilford,TRUE,FALSE
125349,2,37,1703,2013,1,1,26,2,Guilford,TRUE,FALSE
125349,3,37,1703,2013,1,1,2,2,Guilford,TRUE,FALSE
125349,4,37,1703,2013,2,1,8,1,Guilford,TRUE,FALSE
126266,1,37,1803,2013,1,1,31,1,Forsyth,TRUE,FALSE
126266,2,37,1803,2013,1,1,32,2,Forsyth,TRUE,FALSE
126266,3,37,1803,2013,1,1,4,2,Forsyth,TRUE,FALSE
126266,4,37,1803,2013,1,1,0,1,Forsyth,TRUE,FALSE
127158,1,37,1704,2013,2,1,36,1,Guilford,TRUE,TRUE
127158,2,37,1704,2013,2,1,36,2,Guilford,TRUE,TRUE
127158,3,37,1704,2013,2,1,15,2,Guilford,TRUE,TRUE
127158,4,37,1704,2013,2,1,13,2,Guilford,TRUE,TRUE
127158,5,37,1704,2013,2,1,7,2,Guilford,TRUE,TRUE
127158,6,37,1704,2013,2,1,6,2,Guilford,TRUE,TRUE
127158,7,37,1704,2013,2,1,0,2,Guilford,TRUE,TRUE
130192,1,37,1803,2013,1,1,28,1,Forsyth,TRUE,TRUE
130192,2,37,1803,2013,1,1,27,2,Forsyth,TRUE,TRUE
130192,3,37,1803,2013,1,1,5,1,Forsyth,TRUE,TRUE
130192,4,37,1803,2013,1,1,1,1,Forsyth,TRUE,TRUE
131903,1,37,1801,2013,1,2,28,2,Forsyth,TRUE,FALSE
131903,2,37,1801,2013,1,2,37,1,Forsyth,TRUE,FALSE
131903,3,37,1801,2013,1,2,4,2,Forsyth,TRUE,FALSE
131903,4,37,1801,2013,1,2,13,1,Forsyth,TRUE,FALSE
133002,1,37,1302,2013,1,1,32,2,Durham,TRUE,FALSE
133002,2,37,1302,2013,1,1,34,1,Durham,TRUE,FALSE
133002,3,37,1302,2013,1,1,4,1,Durham,TRUE,FALSE
133002,4,37,1302,2013,1,1,2,1,Durham,TRUE,FALSE
133002,5,37,1302,2013,1,1,1,2,Durham,TRUE,FALSE
133299,1,37,1301,2013,1,2,33,2,Durham,TRUE,FALSE
133299,2,37,1301,2013,1,2,14,2,Durham,TRUE,FALSE
133299,3,37,1301,2013,1,2,4,2,Durham,TRUE,FALSE
133299,4,37,1301,2013,1,2,35,2,Durham,TRUE,FALSE
135954,1,37,1302,2013,1,2,25,2,Durham,TRUE,TRUE
135954,2,37,1302,2013,1,2,4,2,Durham,TRUE,TRUE
135954,3,37,1302,2013,1,2,28,1,Durham,TRUE,TRUE
136110,1,37,1302,2013,1,1,41,1,Durham,TRUE,FALSE
136110,2,37,1302,2013,1,1,35,2,Durham,TRUE,FALSE
136110,3,37,1302,2013,1,1,6,2,Durham,TRUE,FALSE
136110,4,37,1302,2013,1,1,5,1,Durham,TRUE,FALSE
136110,5,37,1302,2013,1,1,2,1,Durham,TRUE,FALSE
