"","SERIALNO","SPORDER","year","total_taxes"
"1",39,1,2011,9278
"2",85,1,2011,23426
"3",87,1,2011,3482
"4",88,1,2011,15372
"5",104,1,2011,0
"6",120,1,2011,84976
"7",150,1,2011,4513
"8",234,3,2011,16462
"9",234,1,2011,14373
"10",262,1,2011,0
"11",315,1,2011,0
"12",375,1,2011,20365
"13",382,1,2011,3133
"14",388,1,2011,10789
"15",504,1,2011,1090
"16",555,1,2011,691
"17",566,1,2011,0
"18",570,1,2011,-6090
"19",615,1,2011,0
"20",635,1,2011,-146
"21",639,1,2011,50670
"22",659,1,2011,36970
"23",692,1,2011,22848
"24",768,1,2011,0
"25",798,2,2011,16462
"26",798,1,2011,9097
"27",814,1,2011,737
"28",833,1,2011,0
"29",852,1,2011,6204
"30",859,1,2011,19607
"31",892,1,2011,5945
"32",892,2,2011,556
"33",992,1,2011,24718
"34",1043,1,2011,0
"35",1045,1,2011,17839
"36",1091,1,2011,20365
"37",1124,1,2011,22107
"38",1150,1,2011,117459
"39",1236,1,2011,6805
"40",1245,1,2011,10403
"41",1266,1,2011,37873
"42",1272,1,2011,6559
"43",1277,1,2011,4327
"44",1332,3,2011,2570
"45",1332,1,2011,0
"46",1350,1,2011,33776
"47",1381,1,2011,2154
"48",1401,1,2011,4513
"49",1437,1,2011,26734
"50",1512,1,2011,1671
"51",1559,2,2011,434
"52",1559,3,2011,93
"53",1559,4,2011,1305
"54",1559,1,2011,-10
"55",1596,1,2011,7378
"56",1632,1,2011,-2413
"57",1775,1,2011,0
"58",1784,1,2011,0
"59",1879,1,2011,0
"60",1892,1,2011,4243
"61",1897,1,2011,16407
"62",1915,1,2011,10501
"63",1916,1,2011,1767
"64",1978,2,2011,4513
"65",1978,1,2011,11016
"66",2024,3,2011,227
"67",2024,1,2011,468
"68",2028,1,2011,0
"69",2033,1,2011,-5283
"70",2077,1,2011,35012
"71",2078,1,2011,1461
"72",2177,1,2011,8968
"73",2212,1,2011,20706
"74",2248,1,2011,-27
"75",2270,1,2011,2264
"76",2299,2,2011,4799
"77",2299,1,2011,1305
"78",2304,1,2011,-6526
"79",2396,1,2011,27271
"80",2413,1,2011,14975
"81",2415,1,2011,200
"82",2481,1,2011,0
"83",2514,1,2011,0
"84",2574,2,2011,13335
"85",2574,1,2011,3367
"86",2585,1,2011,20365
