SERIALNO,SPORDER,year,total_taxes
11,3,2018,1418
11,1,2018,0
29,1,2018,-397
51,1,2018,2263
67,1,2018,55935
102,1,2018,0
116,1,2018,-519
135,1,2018,349
154,1,2018,0
157,1,2018,0
164,1,2018,0
169,2,2018,1913
169,3,2018,1913
169,1,2018,0
185,1,2018,247
201,1,2018,9950
269,1,2018,7501
299,1,2018,1738
313,1,2018,0
331,1,2018,3138
348,1,2018,15432
349,1,2018,0
401,1,2018,14275
424,2,2018,0
424,1,2018,15367
447,2,2018,3138
447,1,2018,-71
535,2,2018,7803
535,1,2018,0
553,1,2018,18835
554,1,2018,28384
578,1,2018,13442
612,1,2018,9425
650,1,2018,54323
672,1,2018,0
673,1,2018,3521
738,2,2018,23450
738,1,2018,6690
740,1,2018,8932
771,1,2018,-8003
772,1,2018,1418
780,1,2018,1573
796,1,2018,26327
911,1,2018,80522
943,1,2018,10500
947,1,2018,3651
976,1,2018,0
999,2,2018,4012
999,1,2018,12067
1030,1,2018,0
1072,1,2018,0
1140,1,2018,0
1153,1,2018,30384
1202,1,2018,0
1220,1,2018,524
1225,1,2018,3138
1241,1,2018,14817
1323,2,2018,1755
1323,1,2018,0
1336,1,2018,194
1353,1,2018,1896
1363,1,2018,1108
1370,1,2018,0
1392,1,2018,0
1406,1,2018,1738
1412,1,2018,1878
1431,1,2018,-5625
1445,1,2018,12400
1465,1,2018,2263
1509,1,2018,0
1519,1,2018,115309
1555,1,2018,145146
1601,1,2018,86808
1622,1,2018,0
1623,1,2018,0
1712,1,2018,0
1731,1,2018,11935
1734,1,2018,-153
1750,1,2018,12617
1789,1,2018,10692
1813,1,2018,0
1814,1,2018,6626
1828,1,2018,-519
1852,1,2018,0
1926,1,2018,0
1928,1,2018,0
1939,1,2018,6961
1958,1,2018,-229
2009,1,2018,12067
2071,1,2018,0
2076,1,2018,2175
2087,1,2018,302
2088,1,2018,-114
2104,1,2018,0
2167,3,2018,123
2167,1,2018,0
2213,1,2018,0
2215,1,2018,51128
2236,1,2018,557
2255,1,2018,1738
2260,1,2018,2992
2361,1,2018,1573
2373,1,2018,26060
2377,1,2018,2875
2382,1,2018,1294
2404,1,2018,3138
2461,1,2018,1418
2479,1,2018,-7270
2493,1,2018,-71
2517,1,2018,0
2523,1,2018,1913
2523,1,2018,4187
2605,1,2018,18635
2611,3,2018,-71
2611,1,2018,0
2617,1,2018,0
2631,1,2018,6370
2651,1,2018,-5522
2669,1,2018,0
2683,1,2018,13784
2685,1,2018,23860
2736,1,2018,0
2736,1,2018,36117
2756,1,2018,2088
2772,1,2018,0
2773,1,2018,0
2809,1,2018,1738
2826,1,2018,0
2845,1,2018,-1519
2864,1,2018,0
2882,1,2018,0
2905,3,2018,-130
2905,1,2018,10790
2914,1,2018,0
2929,2,2018,4887
2929,1,2018,3138
2931,1,2018,0
2941,1,2018,0
2978,1,2018,47179
2979,1,2018,-519
3003,2,2018,391
3003,1,2018,1913
3081,1,2018,0
3097,1,2018,7392
3266,1,2018,0
3290,1,2018,0
3403,1,2018,43389
3418,1,2018,1573
3422,1,2018,0
3429,1,2018,9554
3490,1,2018,4831
3506,1,2018,-519
3571,1,2018,93
3595,1,2018,12400
3609,3,2018,1418
3609,1,2018,26599
3657,1,2018,0
3665,1,2018,189
3711,1,2018,35904
3713,1,2018,2865
3719,1,2018,-9206
3743,1,2018,7117
3883,1,2018,17662
3887,1,2018,5325
3956,1,2018,0
4062,1,2018,0
4096,1,2018,0
4113,3,2018,13442
4113,1,2018,692
4160,1,2018,0
4167,1,2018,16192
4190,1,2018,4345
4196,1,2018,0
4214,1,2018,1496
4225,1,2018,8767
4234,1,2018,1263
4236,1,2018,0
4237,1,2018,0
4242,1,2018,-183
4259,1,2018,0
4270,1,2018,24460
4320,1,2018,5433
4338,1,2018,44866
4378,1,2018,0
4383,1,2018,43
4386,5,2018,-229
4386,1,2018,12080
4440,1,2018,5215
4489,1,2018,64453
4523,1,2018,0
4533,1,2018,0
4554,1,2018,-71
4569,1,2018,-53
4581,1,2018,0
4626,3,2018,798
4626,1,2018,0
4636,1,2018,222
4672,1,2018,13025
4694,1,2018,16635
4705,1,2018,4012
4712,1,2018,1913
4720,1,2018,5764
4727,1,2018,-382
4758,1,2018,0
4770,1,2018,0
4891,1,2018,0
4918,1,2018,4698
4954,1,2018,0
4963,2,2018,68
4963,3,2018,5587
4963,1,2018,0
4970,1,2018,4887
5019,1,2018,1668
5079,1,2018,0
5148,1,2018,1573
5175,1,2018,457
5235,1,2018,1573
5280,1,2018,2088
5321,1,2018,9353
5329,1,2018,0
5336,1,2018,-153
5458,1,2018,0
5467,3,2018,4012
5467,1,2018,12925
5497,1,2018,0
5502,1,2018,1108
5513,1,2018,0
5558,1,2018,0
5614,1,2018,10125
5617,1,2018,-60
5671,2,2018,-229
5671,1,2018,12067
5692,2,2018,2963
5692,1,2018,5237
5723,1,2018,-229
5783,1,2018,0
5784,1,2018,0
5790,1,2018,10965
5809,1,2018,-244
5811,1,2018,0
5832,1,2018,0
5899,3,2018,2263
5899,1,2018,10125
5916,1,2018,5681
5952,1,2018,2088
5963,1,2018,1418
5967,1,2018,6499
5986,1,2018,14267
5988,1,2018,26885
5994,1,2018,2217
6011,1,2018,2788
6047,1,2018,0
6109,2,2018,4887
6109,1,2018,0
6182,1,2018,5926
6185,1,2018,-7741
6201,1,2018,-203
6202,1,2018,-198
6206,4,2018,-71
6206,1,2018,357
6212,1,2018,0
6232,1,2018,0
6247,1,2018,0
6274,1,2018,26327
6293,1,2018,1668
6313,3,2018,4758
6313,1,2018,-2965
6322,1,2018,0
6332,1,2018,0
6382,3,2018,-306
6382,1,2018,8025
6442,1,2018,1108
6460,1,2018,7032
6484,1,2018,0
6498,1,2018,1949
6522,1,2018,42089
6547,1,2018,406
6583,1,2018,10598
6585,1,2018,5937
6587,1,2018,2823
6622,1,2018,3676
6655,1,2018,20210
6668,1,2018,0
6679,1,2018,0
6702,1,2018,25647
6721,1,2018,3488
6731,1,2018,68
6779,1,2018,4176
6786,3,2018,1418
6786,1,2018,6626
6794,1,2018,124323
6798,1,2018,2928
6806,1,2018,43
6812,1,2018,10878
6815,1,2018,9317
6861,1,2018,9317
6974,1,2018,8025
6979,2,2018,6637
6979,1,2018,4940
6982,2,2018,1418
6982,1,2018,6637
6996,1,2018,779
7079,1,2018,12950
7096,1,2018,-4552
7099,1,2018,0
7201,1,2018,5762
7204,1,2018,0
7274,1,2018,-306
7302,1,2018,-5522
7316,1,2018,17567
7316,1,2018,4623
7323,1,2018,0
7373,1,2018,5937
7510,1,2018,0
7578,1,2018,0
7579,1,2018,10352
7585,1,2018,2091
7585,1,2018,-9344
7641,1,2018,2560
7682,1,2018,26183
7686,1,2018,18085
7689,1,2018,-479
7691,2,2018,-203
7691,1,2018,2788
7701,1,2018,0
7761,1,2018,1597
7786,1,2018,0
7803,1,2018,0
7824,1,2018,0
7848,1,2018,137
7853,1,2018,25593
7861,1,2018,6112
7907,1,2018,0
7909,1,2018,0
7925,1,2018,0
7927,1,2018,0
7947,1,2018,0
8005,1,2018,-40
8055,1,2018,3488
8077,1,2018,3838
8131,1,2018,5237
8148,1,2018,1010
8181,2,2018,3138
8181,3,2018,0
8181,1,2018,0
8184,1,2018,0
8196,2,2018,2263
8196,1,2018,12892
8236,1,2018,8375
8246,2,2018,0
8246,1,2018,0
8259,2,2018,123
8259,3,2018,17017
